product_id,product_category,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00001,books,7890.0,25.0,31.0,38.0
PROD00002,home,9931.0,50.0,61.0,34.0
PROD00003,garden,927.0,28.0,35.0,17.0
PROD00004,electronics,11022.0,27.0,10.0,17.0
PROD00005,fashion,3631.0,10.0,44.0,22.0
PROD00006,toys,7247.0,87.0,16.0,36.0
PROD00007,food,4551.0,56.0,57.0,43.0
PROD00008,home,13735.0,75.0,75.0,50.0
PROD00009,garden,11227.0,47.0,14.0,33.0
PROD00010,home,3976.0,60.0,49.0,66.0
PROD00011,sports,7047.5,72.0,21.0,66.0
PROD00012,electronics,226.0,13.0,30.0,61.0
PROD00013,fashion,3277.0,10.0,66.0,20.0
PROD00014,automotive,11348.0,17.0,50.0,60.0
PROD00015,electronics,8895.0,38.0,68.0,14.0
PROD00016,automotive,11741.0,64.0,6.0,34.0
PROD00017,garden,6124.0,12.0,58.0,29.0
PROD00018,books,5209.0,41.0,69.0,9.0
PROD00019,toys,4246.0,19.0,55.0,69.0
PROD00020,beauty,7296.0,83.0,57.0,53.0
PROD00021,electronics,11825.0,92.0,40.0,7.0
PROD00022,fashion,11659.0,43.0,30.0,49.0
PROD00023,home,3468.0,96.0,33.0,18.0
PROD00024,fashion,3897.0,64.0,25.0,34.0
PROD00025,garden,13818.0,41.0,15.0,72.0
PROD00026,automotive,1892.0,59.0,44.0,22.0
PROD00027,home,11153.0,16.0,15.0,66.0
PROD00028,beauty,5832.0,17.0,40.0,41.0
PROD00029,beauty,3576.0,74.0,63.0,29.0
PROD00030,electronics,3517.0,66.0,43.0,52.0
PROD00031,garden,1745.0,76.0,58.0,69.0
PROD00032,books,14855.0,97.0,59.0,57.0
PROD00033,garden,9497.0,96.0,28.0,77.0
PROD00034,automotive,3130.0,68.0,26.0,19.0
PROD00035,fashion,2972.0,81.0,73.0,53.0
PROD00036,beauty,3172.0,63.0,60.0,72.0
PROD00037,fashion,1954.0,76.0,37.0,16.0
PROD00038,fashion,4121.0,60.0,40.0,63.0
PROD00039,fashion,4762.0,17.0,24.0,41.0
PROD00040,beauty,6614.0,43.0,66.0,65.0
PROD00041,food,5131.0,44.0,77.0,47.0
PROD00042,sports,14322.0,97.0,30.0,74.0
PROD00043,automotive,2808.0,87.0,70.0,43.0
PROD00044,food,11794.0,41.0,77.0,60.0
PROD00045,automotive,7212.0,55.0,77.0,67.0
PROD00046,home,9624.0,25.0,44.0,50.0
PROD00047,garden,8493.0,77.0,21.0,15.0
PROD00048,garden,3607.0,46.0,5.0,66.0
PROD00049,toys,6556.0,63.0,65.0,29.0
PROD00050,garden,4312.0,94.0,47.0,75.0
PROD00051,beauty,13324.0,23.0,46.0,56.0
PROD00052,books,8070.0,64.0,29.0,8.0
PROD00053,electronics,8866.0,57.0,43.0,63.0
PROD00054,toys,14679.0,91.0,39.0,76.0
PROD00055,electronics,636.0,16.0,7.0,24.0
PROD00056,automotive,1725.0,83.0,48.0,67.0
PROD00057,electronics,10414.0,16.0,55.0,58.0
PROD00058,electronics,8073.0,42.0,16.0,78.0
PROD00059,toys,8677.0,32.0,23.0,61.0
PROD00060,home,8170.0,94.0,48.0,45.0
PROD00061,fashion,11573.0,28.0,63.0,7.0
PROD00062,garden,8766.0,28.0,53.0,10.0
PROD00063,garden,8709.0,45.0,65.0,9.0
PROD00064,beauty,6590.0,38.0,21.0,9.0
PROD00065,toys,3700.0,69.0,78.0,58.0
PROD00066,beauty,6883.0,91.0,61.0,51.0
PROD00067,books,13326.0,11.0,59.0,53.0
PROD00068,books,9246.0,10.0,51.0,13.0
PROD00069,beauty,5071.0,56.0,16.0,24.0
PROD00070,toys,13150.0,78.0,66.0,65.0
PROD00071,beauty,7047.5,29.0,12.0,39.0
PROD00072,garden,1305.0,20.0,25.0,54.0
PROD00073,food,13051.0,11.0,74.0,66.0
PROD00074,sports,12412.0,76.0,76.0,21.0
PROD00075,electronics,2090.0,96.0,29.0,7.0
PROD00076,sports,5399.0,21.0,16.0,36.0
PROD00077,toys,13097.0,29.0,19.0,17.0
PROD00078,sports,3672.0,14.0,63.0,77.0
PROD00079,books,6075.0,46.0,30.0,72.0
PROD00080,automotive,13572.0,47.0,30.0,18.0
PROD00081,electronics,6420.0,18.0,51.0,15.0
PROD00082,fashion,4480.0,62.0,36.0,60.0
PROD00083,toys,12450.0,53.0,14.0,71.0
PROD00084,electronics,13390.0,95.0,20.0,33.0
PROD00085,sports,4857.0,33.0,75.0,13.0
PROD00086,books,2813.0,90.0,21.0,71.0
PROD00087,home,10495.0,83.0,27.0,29.0
PROD00088,food,5688.0,39.0,30.0,46.0
PROD00089,fashion,11412.0,68.0,11.0,13.0
PROD00090,food,1066.0,96.0,18.0,44.0
PROD00091,electronics,5044.0,90.0,11.0,29.0
PROD00092,books,13495.0,90.0,13.0,9.0
PROD00093,books,3532.0,23.0,52.0,15.0
PROD00094,sports,788.0,18.0,76.0,63.0
PROD00095,garden,4343.0,49.0,63.0,42.0
PROD00096,sports,3801.0,75.0,43.0,76.0
PROD00097,garden,8633.0,34.0,22.0,9.0
PROD00098,garden,14911.0,82.0,63.0,52.0
PROD00099,fashion,5282.0,31.0,21.0,22.0
PROD00100,sports,10016.0,13.0,18.0,74.0
PROD00101,home,13771.0,35.0,35.0,41.0
PROD00102,beauty,6804.0,67.0,28.0,64.0
PROD00103,beauty,4522.0,38.0,64.0,52.0
PROD00104,sports,10084.0,96.0,49.0,32.0
PROD00105,sports,1859.0,46.0,7.0,73.0
