customer_id,customer_unique_id,customer_zip_code,customer_city,customer_state
CUST00001,UNIQ00001,25795,Salvador,PE
CUST00002,UNIQ00002,10860,Salvador,SP
CUST00003,UNIQ00003,86820,Belo Horizonte,BA
CUST00004,UNIQ00004,64886,Salvador,RS
CUST00005,UNIQ00005,16265,Recife,BA
CUST00006,UNIQ00006,92386,,ES
CUST00007,UNIQ00007,47194,Porto Alegre,RS
CUST00008,UNIQ00008,97498,Sao Paulo,BA
CUST00009,UNIQ00009,54131,Sao Paulo,sp
CUST00010,UNIQ00010,70263,Porto Alegre,RS
CUST00011,UNIQ00011,26023,Belo Horizonte,PR
CUST00012,UNIQ00012,51090,Curitiba,MG
CUST00013,UNIQ00013,77221,Belo Horizonte,MG
CUST00014,UNIQ00014,74820,Sao Paulo,PR
CUST00015,UNIQ00015,10769,Sao Paulo,GO
CUST00016,UNIQ00016,69735,Porto Alegre,RJ
CUST00017,UNIQ00017,72955,Salvador,GO
CUST00018,UNIQ00018,74925,Belo Horizonte,SP
CUST00019,UNIQ00019,77969,Goiania,SP
CUST00020,UNIQ00020,15311,Porto Alegre,RS
CUST00021,UNIQ00021,93104,Recife,BA
CUST00022,UNIQ00022,63707,Sao Paulo,BA
CUST00023,UNIQ00023,95305,Porto Alegre,MG
CUST00024,UNIQ00024,38693,Belo Horizonte,SC
CUST00025,UNIQ00025,81932,Sao Paulo,GO
CUST00026,UNIQ00026,35658,Curitiba,ES
CUST00027,UNIQ00027,94478,Porto Alegre,PE
CUST00028,UNIQ00028,28431,Florianopolis,BA
CUST00029,UNIQ00029,12747,Sao Paulo,PE
CUST00030,UNIQ00030,69150,Belo Horizonte,RS
CUST00031,UNIQ00031,75725,Rio de Janeiro,PE
CUST00032,UNIQ00032,94654,Goiania,ES
CUST00033,UNIQ00033,45773,Vitoria,PR
CUST00034,UNIQ00034,77435,Salvador, RJ 
CUST00035,UNIQ00035,66886,Vitoria,PE
CUST00036,UNIQ00036,76803,Belo Horizonte,ES
CUST00037,UNIQ00037,41551,Recife,RJ
CUST00038,UNIQ00038,21394,Recife,RS
CUST00039,UNIQ00039,79092,Rio de Janeiro,GO
CUST00040,UNIQ00040,13890,Salvador,PR
CUST00041,UNIQ00041,51606,Florianopolis,BA
CUST00042,UNIQ00042,90038,Rio de Janeiro,SP
CUST00043,UNIQ00043,97313,Vitoria,GO
CUST00044,UNIQ00044,20627,Rio de Janeiro,SP
CUST00045,UNIQ00045,18792,Vitoria,RS
CUST00046,UNIQ00046,83969,Sao Paulo,PR
CUST00047,UNIQ00047,53001,Recife,MG
CUST00048,UNIQ00048,86552,Sao Paulo,BA
CUST00049,UNIQ00049,33897,Goiania,RJ
CUST00050,UNIQ00050,78148,Salvador,MG
CUST00051,UNIQ00051,33483,,RS
CUST00052,UNIQ00052,58555,Vitoria,GO
CUST00053,UNIQ00053,27159,Florianopolis,RJ
CUST00054,UNIQ00054,90077,Vitoria,ES
CUST00055,UNIQ00055,45920,Belo Horizonte,PE
CUST00056,UNIQ00056,77121,Rio de Janeiro,RJ
CUST00057,UNIQ00057,79479,Goiania,RS
CUST00058,UNIQ00058,99475,Recife,SC
CUST00059,UNIQ00059,29457,Vitoria,PE
CUST00060,UNIQ00060,76557,Florianopolis,SP
CUST00061,UNIQ00061,87189,Goiania,BA
CUST00062,UNIQ00062,88953,Curitiba,SP
CUST00063,UNIQ00063,62995,Curitiba,RJ
CUST00064,UNIQ00064,50757,Sao Paulo,SP
CUST00065,UNIQ00065,19692,Recife,RS
CUST00066,UNIQ00066,55758,Belo Horizonte,ES
CUST00067,UNIQ00067,82409,Florianopolis,GO
CUST00068,UNIQ00068,81211,Rio de Janeiro,BA
CUST00069,UNIQ00069,75697,Rio de Janeiro,SP
CUST00070,UNIQ00070,47065,Florianopolis,SP
CUST00071,UNIQ00071,42606,Salvador,RJ
CUST00072,UNIQ00072,21534,Belo Horizonte,GO
CUST00073,UNIQ00073,50397,Goiania,MG
CUST00074,UNIQ00074,11016,Vitoria,SP
CUST00075,UNIQ00075,99789,Salvador,RS
CUST00076,UNIQ00076,65591,Vitoria,SC
CUST00077,UNIQ00077,99812,Vitoria,BA
CUST00078,UNIQ00078,33247,Salvador,SP
CUST00079,UNIQ00079,34300,Sao Paulo,RS
CUST00080,UNIQ00080,84065,Curitiba,RS
CUST00081,UNIQ00081,92798,Vitoria,BA
CUST00082,UNIQ00082,19268,Salvador,MG
CUST00083,UNIQ00083,96807,Salvador,RS
CUST00084,UNIQ00084,22185,Porto Alegre,SC
CUST00085,UNIQ00085,73704,Sao Paulo,RS
CUST00086,UNIQ00086,96779,Recife,RS
CUST00087,UNIQ00087,49099,Porto Alegre,RS
CUST00088,UNIQ00088,18571,Porto Alegre,ES
CUST00089,UNIQ00089,48044,Florianopolis,ES
CUST00090,UNIQ00090,61214,Curitiba,MG
CUST00091,UNIQ00091,71228,Salvador,SP
CUST00092,UNIQ00092,58984,Curitiba,RS
