order_id,order_item_id,product_id,seller_id,price,freight_value
ORD000487,3,PROD00072,SELL0053,$28.07,54.18
ORD000457,3,PROD00031,SELL0058,$926.35,50.45
ORD000041,2,PROD00088,SELL0057,$-50.00,64.1
ORD000117,3,PROD00050,SELL0017,$1090.10,3.93
ORD000530,2,PROD00106,SELL0050,$778.75,41.68
ORD000499,3,PROD00006,SELL0019,$300.88,42.08
ORD000099,3,PROD00022,SELL0050,$806.81,50.9
ORD000216,1,PROD00086,SELL0041,$1299.45,35.09
ORD000107,3,PROD00027,SELL0035,$1319.78,59.83
ORD000446,1,PROD00083,SELL0053,$1124.13,13.99
ORD000471,1,PROD00092,SELL0022,$144.97,6.23
ORD000258,3,PROD00072,SELL0005,$1235.10,73.06
ORD000418,3,PROD00050,SELL0029,$615.61,26.68
ORD000399,3,PROD00087,SELL0008,$23.76,58.18
ORD000065,3,PROD00097,SELL0048,$82.59,68.16
ORD000367,1,PROD00119,SELL0033,$445.41,55.5
ORD000089,2,PROD00037,SELL0049,$581.40,66.13
ORD000032,3,PROD00061,SELL0011,$341.50,60.25
ORD000559,1,PROD00038,SELL0041,$457.61,71.18
ORD000383,3,PROD00002,SELL0036,$224.94,5.26
ORD000587,3,PROD00077,SELL0026,$828.08,8.64
ORD000216,3,PROD00096,SELL0048,$525.62,34.19
ORD000525,1,PROD00019,SELL0011,$342.87,67.11
ORD000199,3,PROD00015,SELL0012,$1202.50,68.48
ORD000563,3,PROD00060,SELL0042,$123.62,54.39
ORD000257,3,PROD00013,SELL0013,$877.18,76.22
ORD000366,3,PROD00017,SELL0043,$363.28,24.24
ORD000072,2,PROD00116,SELL0013,$736.50,27.61
ORD000314,1,PROD00089,SELL0038,$854.84,30.43
ORD000324,1,PROD00055,SELL0011,$480.12,63.28
ORD000447,2,PROD00036,SELL0054,$214.44,59.17
ORD000492,2,PROD00060,SELL0029,$1165.53,39.98
ORD000112,3,PROD00023,SELL0042,$136.73,23.89
ORD000144,1,PROD00115,SELL0035,$405.90,71.13
ORD000079,1,PROD00094,SELL0005,$1276.64,51.27
ORD000596,3,PROD00075,SELL0026,$330.95,4.86
ORD000267,3,PROD00070,SELL0058,$716.07,62.47
ORD000375,3,PROD00051,SELL0015,$1103.84,24.7
ORD000476,1,PROD00065,SELL0033,$604.23,41.17
ORD000245,3,PROD00109,SELL0052,$1030.98,61.06
ORD000144,1,PROD00058,SELL0011,$856.04,46.13
ORD000150,2,PROD00095,SELL0047,$1409.68,5.15
ORD000500,2,PROD00030,SELL0005,$563.61,5.34
ORD000212,2,PROD00067,SELL0059,$591.32,73.6
ORD000048,2,PROD00006,SELL0042,$168.29,77.54
ORD000281,2,PROD00107,SELL0048,$874.27,46.47
ORD000386,2,PROD00084,SELL0025,$887.70,72.06
ORD000080,2,PROD00067,SELL0017,$1459.42,19.39
ORD000416,2,PROD00046,SELL0053,$737.99,39.6
ORD000007,1,PROD00065,SELL0057,$668.25,19.94
ORD000527,1,PROD00083,SELL0018,$238.11,14.27
ORD000122,2,PROD00085,SELL0015,$1219.59,58.18
ORD000494,2,PROD00087,SELL0031,$327.90,14.58
ORD000421,1,PROD00003,SELL0016,$204.91,48.2
ORD000138,1,PROD00081,SELL0033,$1337.83,13.46
ORD000171,1,PROD00034,SELL0060,$782.21,33.63
ORD000578,3,PROD00082,SELL0002,$1096.04,66.06
ORD000088,3,PROD00028,SELL0029,$1489.27,69.65
ORD000175,2,PROD00029,SELL0054,$907.25,63.98
