product_id,product_category,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00001,books,7890.0g,25,31,38
PROD00002,home,9931.0g,-20,61,34
PROD00003,garden,927.0g,28,35,17
PROD00004,Electronics,11022.0g,27,10,17
PROD00005,fashion,3631.0g,10,44,22
PROD00006,toys,7247.0g,87,16,36
PROD00007,food,4551.0g,56,57,43
PROD00008,home,13735.0g,75,75,50
PROD00009,garden,11227.0g,47,14,33
PROD00010,home,3976.0g,60,49,66
PROD00011,sports,,72,21,66
PROD00012,electronics,226.0g,13,30,61
PROD00013,fashion,3277.0g,10,66,20
PROD00014,automotive,11348.0g,17,50,60
PROD00015,electronics,8895.0g,38,68,14
PROD00016,automotive,11741.0g,64,6,34
PROD00017,garden,6124.0g,12,58,29
PROD00018,books,5209.0g,41,69,9
PROD00019,toys,4246.0g,19,55,69
PROD00020,beauty,7296.0g,83,57,53
PROD00021,electronics,11825.0g,92,40,7
PROD00022,fashion,11659.0g,43,30,49
PROD00023, HOME ,3468.0g,96,33,18
PROD00024,fashion,3897.0g,64,25,34
PROD00025,garden,13818.0g,41,15,72
PROD00026,automotive,1892.0g,59,44,22
PROD00027,home,11153.0g,16,15,66
PROD00028,beauty,5832.0g,17,40,41
PROD00029,beauty,3576.0g,74,63,29
PROD00030,electronics,3517.0g,66,43,52
PROD00031,garden,1745.0g,76,58,69
PROD00032,books,14855.0g,97,59,57
PROD00033,garden,9497.0g,96,28,77
PROD00034,automotive,3130.0g,68,26,19
PROD00035,fashion,2972.0g,81,73,53
PROD00036,beauty,3172.0g,63,60,72
PROD00037,fashion,1954.0g,76,37,16
PROD00038,fashion,4121.0g,60,40,63
PROD00039,fashion,4762.0g,17,24,41
PROD00040,beauty,6614.0g,43,66,65
PROD00041,food,5131.0g,44,77,47
PROD00042,sports,14322.0g,97,30,74
PROD00043,automotive,2808.0g,87,70,43
PROD00044,food,11794.0g,41,77,60
PROD00045,automotive,7212.0g,55,77,67
PROD00046,home,9624.0g,25,44,50
PROD00047,garden,8493.0g,77,21,15
PROD00048,garden,3607.0g,46,5,66
PROD00049,toys,6556.0g,63,65,29
PROD00050,garden,4312.0g,94,47,75
PROD00051,beauty,13324.0g,23,46,56
PROD00052,books,8070.0g,64,29,8
PROD00053,electronics,8866.0g,57,43,63
PROD00054,toys,14679.0g,91,39,76
PROD00055,electronics,636.0g,16,7,24
PROD00056,automotive,1725.0g,83,48,67
PROD00057,electronics,10414.0g,16,55,58
PROD00058,electronics,8073.0g,42,16,78
PROD00059,toys,8677.0g,32,23,61
PROD00060,home,8170.0g,94,48,45
PROD00061,fashion,11573.0g,28,63,7
PROD00062,garden,8766.0g,28,53,10
PROD00063,garden,8709.0g,45,65,9
PROD00064,beauty,6590.0g,38,21,9
PROD00065,toys,3700.0g,69,78,58
PROD00066,beauty,6883.0g,91,61,51
PROD00067,books,13326.0g,11,59,53
PROD00068,books,9246.0g,10,51,13
PROD00069,beauty,5071.0g,56,16,24
PROD00070,toys,13150.0g,78,66,65
PROD00071,beauty,,29,12,39
PROD00072,garden,1305.0g,20,25,54
PROD00073,food,13051.0g,11,74,66
PROD00074,sports,12412.0g,76,76,21
PROD00075,electronics,2090.0g,96,29,7
PROD00076,sports,5399.0g,21,16,36
PROD00077,toys,13097.0g,29,19,17
PROD00078,sports,3672.0g,14,63,77
PROD00079,books,6075.0g,46,30,72
PROD00080,automotive,13572.0g,47,30,18
PROD00081,electronics,6420.0g,18,51,15
PROD00082,fashion,4480.0g,62,36,60
PROD00083,toys,12450.0g,53,14,71
PROD00084,electronics,13390.0g,95,20,33
PROD00085,sports,4857.0g,33,75,13
PROD00086,books,2813.0g,90,21,71
PROD00087,home,10495.0g,83,27,29
PROD00088,food,5688.0g,39,30,46
PROD00089,fashion,11412.0g,68,11,13
PROD00090,food,1066.0g,96,18,44
PROD00091,electronics,5044.0g,90,11,29
PROD00092,books,13495.0g,90,13,9
PROD00093,books,3532.0g,23,52,15
PROD00094,sports,788.0g,18,76,63
PROD00095,garden,4343.0g,49,63,42
PROD00096,sports,3801.0g,75,43,76
PROD00097,garden,8633.0g,34,22,9
PROD00098,garden,14911.0g,82,63,52
PROD00099,fashion,5282.0g,31,21,22
PROD00100,sports,10016.0g,13,18,74
PROD00101,home,13771.0g,35,35,41
PROD00102,beauty,6804.0g,67,28,64
PROD00103,beauty,4522.0g,38,64,52
PROD00104,sports,10084.0g,96,49,32
PROD00105,sports,1859.0g,46,7,73
PROD00106,food,11504.0g,84,41,44
PROD00107,fashion,9281.0g,79,47,49
PROD00108,sports,10554.0g,27,44,66
PROD00109,food,2582.0g,94,59,62
PROD00110,garden,8158.0g,51,43,71
PROD00111,books,1051.0g,50,19,60
PROD00112,books,9014.0g,47,8,44
PROD00113,garden,11681.0g,43,29,44
PROD00114,toys,2179.0g,26,17,37
PROD00115,food,2817.0g,46,37,10
PROD00116,food,10624.0g,34,20,23
PROD00117,garden,11668.0g,85,46,44
PROD00118,home,4624.0g,96,70,63
PROD00119,automotive,9792.0g,95,59,63
PROD00120,electronics,8577.0g,94,46,52
PROD00005,fashion,3631.0g,10,44,22
