review_id,order_id,review_score,review_creation_date
REV000001,ORD000001,3,2025-04-28
REV000002,ORD000002,0,2025-01-30
REV000003,ORD000003,1,2025-04-12
REV000004,ORD000005,5,2025-11-09
REV000005,ORD000006,4,2025-12-17
REV000006,ORD000007,6,2025-10-11
REV000007,ORD000009,4,2025-01-28
REV000008,ORD000010,4,2025-07-14
REV000009,ORD000011,2,2025-08-10
REV000010,ORD000012,4,2025-10-10
REV000011,ORD000013,2,2025-03-02
REV000012,ORD000014,4,2025-03-03
REV000013,ORD000015,5,2025-07-09
REV000014,ORD000016,3,2025-04-11
REV000015,ORD000017,3,2025-08-13
REV000016,ORD000018,1,2025-05-03
REV000017,ORD000022,2,2025-02-18
REV000018,ORD000023,5,2025-01-07
REV000019,ORD000024,2,2025-08-01
REV000020,ORD000025,5,2025-10-19
REV000021,ORD000026,1,2025-01-09
REV000022,ORD000027,2,2025-01-31
REV000023,ORD000029,1,2025-01-31
REV000024,ORD000030,2,2025-08-14
REV000025,ORD000031,2,2025-05-26
REV000026,ORD000032,1,2025-06-11
REV000027,ORD000033,3,2025-11-06
REV000028,ORD000035,2,2025-05-31
REV000029,ORD000036,2,2025-11-08
REV000030,ORD000037,4,2025-09-04
REV000031,ORD000038,1,2025-12-04
REV000032,ORD000039,1,2025-02-10
REV000033,ORD000041,3,2025-10-07
REV000034,ORD000043,2,2025-09-12
REV000035,ORD000045,3,2025-04-24
REV000036,ORD000046,4,2025-06-05
REV000037,ORD000048,3,2025-10-11
REV000038,ORD000049,3,2025-12-02
REV000039,ORD000050,2,2025-09-28
REV000040,ORD000051,3,2025-06-14
REV000041,ORD000053,5,2025-09-16
REV000042,ORD000054,1,2025-01-29
REV000043,ORD000055,3,2025-07-31
REV000044,ORD000057,5,2025-09-07
REV000045,ORD000058,3,2025-02-11
REV000046,ORD000059,2,2025-03-13
REV000047,ORD000060,5,2025-04-30
REV000048,ORD000061,3,2025-10-12
REV000049,ORD000062,2,2025-03-05
REV000050,ORD000063,3,2025-03-15
REV000051,ORD000064,1,2025-05-02
REV000052,ORD000065,4,2025-11-30
REV000053,ORD000066,4,2025-03-01
REV000054,ORD000067,1,2025-09-14
REV000055,ORD000068,1,2025-05-20
REV000056,ORD000069,3,2025-10-30
REV000057,ORD000070,4,2025-06-04
REV000058,ORD000072,1,2025-02-01
REV000059,ORD000073,3,2025-11-10
REV000060,ORD000074,4,2025-09-12
REV000061,ORD000075,1,2025-07-16
REV000062,ORD000076,4,2025-08-17
REV000063,ORD000077,1,2025-04-26
REV000064,ORD000078,2,2025-07-15
REV000065,ORD000079,2,2025-12-05
REV000066,ORD000080,4,2025-10-01
REV000067,ORD000081,1,2025-12-06
REV000068,ORD000083,3,2025-01-18
REV000069,ORD000084,5,2025-06-29
REV000070,ORD000085,1,2025-11-09
REV000071,ORD000086,3,2025-05-16
REV000072,ORD000088,5,2025-04-22
REV000073,ORD000089,1,2025-06-25
REV000074,ORD000090,5,2025-08-12
REV000075,ORD000092,4,2025-01-31
