order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000001,1,debit_card,1,0.0
ORD000002,1,credit_card,2,878.45
ORD000002,2,voucher,1,47.49
ORD000003,1,credit_card,1,2909.89
ORD000004,1,credit_card,2,758.55
ORD000005,1,credit_card,1,812.33
ORD000006,1,credit_card,3,2310.5
ORD000007,1,credit_card,6,2921.62
ORD000008,1,boleto,2,1930.92
ORD000009,1,debit_card,12,486.36
ORD000010,1,credit_card,12,2009.28
ORD000011,1,credit_card,3,1399.37
ORD000012,1,debit_card,3,1105.62
ORD000013,1,credit_card,1,1560.29
ORD000014,1,credit_card,1,1361.06
ORD000015,1,credit_card,2,1978.03
ORD000016,1,credit_card,2,399.85
ORD000017,1,credit_card,12,532.61
ORD000018,1,credit_card,3,1054.05
ORD000019,1,voucher,6,1055.08
ORD000020,1,debit_card,6,1343.11
ORD000021,1,credit_card,2,506.39
ORD000021,2,voucher,1,74.6
ORD000022,1,debit_card,2,0.0
ORD000023,1,credit_card,12,1297.43
ORD000024,1,credit_card,2,2380.93
ORD000025,1,boleto,6,591.39
ORD000025,2,voucher,1,62.34
ORD000026,1,credit_card,1,798.3
ORD000027,1,boleto,6,1185.5
ORD000027,2,voucher,1,65.82
ORD000028,1,credit_card,3,1267.66
ORD000029,1,credit_card,2,283.83
ORD000030,1,credit_card,2,121.85
ORD000031,1,credit_card,1,2232.12
ORD000032,1,boleto,3,401.75
ORD000033,1,boleto,1,1384.9
ORD000034,1,boleto,3,1171.68
ORD000035,1,credit_card,1,0.0
ORD000036,1,debit_card,6,1088.42
ORD000037,1,boleto,12,1515.23
ORD000038,1,voucher,6,2016.9
ORD000039,1,credit_card,1,1812.37
ORD000040,1,boleto,2,1537.58
ORD000041,1,credit_card,3,645.44
ORD000041,2,debit_card,1,73.91
ORD000042,1,debit_card,2,1034.52
ORD000043,1,credit_card,6,1500.42
ORD000044,1,debit_card,6,2287.24
ORD000045,1,credit_card,6,556.56
ORD000046,1,boleto,2,925.04
ORD000047,1,voucher,3,1721.0
ORD000048,1,credit_card,1,245.83
ORD000049,1,credit_card,2,707.03
ORD000050,1,credit_card,1,1354.07
ORD000051,1,credit_card,6,1362.78
ORD000052,1,credit_card,6,707.74
ORD000053,1,debit_card,2,0.0
ORD000054,1,credit_card,12,2034.21
ORD000055,1,credit_card,12,2643.44
ORD000056,1,boleto,1,4750.22
ORD000057,1,boleto,3,1460.32
ORD000058,1,boleto,12,0.0
ORD000059,1,credit_card,6,1341.29
ORD000060,1,boleto,12,859.88
ORD000061,1,credit_card,3,577.32
ORD000062,1,credit_card,1,4040.03
ORD000063,1,credit_card,3,1443.57
ORD000064,1,credit_card,2,0.0
ORD000065,1,voucher,1,1415.96
ORD000066,1,credit_card,3,1752.28
ORD000067,1,boleto,12,2599.37
ORD000068,1,voucher,12,177.12
ORD000069,1,credit_card,6,284.72
ORD000070,1,boleto,1,0.0
ORD000071,1,credit_card,3,442.39
ORD000072,1,credit_card,3,3365.49
ORD000073,1,credit_card,3,1172.66
ORD000073,2,voucher,1,45.93
ORD000074,1,credit_card,12,744.5
ORD000075,1,credit_card,1,167.01
ORD000076,1,credit_card,3,0.0
ORD000077,1,credit_card,3,0.0
ORD000078,1,voucher,12,1213.49
ORD000079,1,credit_card,6,1327.91
ORD000080,1,credit_card,2,1478.81
ORD000081,1,credit_card,3,192.87
ORD000082,1,boleto,1,207.16
ORD000083,1,credit_card,6,0.0
ORD000084,1,credit_card,1,1549.35
ORD000085,1,credit_card,6,0.0
ORD000086,1,debit_card,1,638.58
ORD000087,1,credit_card,2,1319.58
ORD000088,1,boleto,6,2643.28
ORD000089,1,voucher,6,2839.91
ORD000090,1,debit_card,1,2729.89
ORD000091,1,credit_card,1,615.19
ORD000092,1,credit_card,3,4192.57
ORD000093,1,credit_card,1,524.54
ORD000094,1,credit_card,6,0.0
ORD000095,1,credit_card,12,2196.36
ORD000096,1,credit_card,2,1813.47
ORD000097,1,credit_card,3,665.18
ORD000098,1,credit_card,6,0.0
ORD000099,1,boleto,1,2050.72
ORD000100,1,credit_card,2,1307.02
ORD000101,1,voucher,2,2402.65
ORD000102,1,credit_card,1,1009.64
ORD000103,1,credit_card,2,1529.31
ORD000104,1,credit_card,1,994.34
ORD000105,1,credit_card,12,1985.43
ORD000106,1,credit_card,2,0.0
ORD000107,1,credit_card,1,2467.54
ORD000108,1,credit_card,3,363.67
ORD000109,1,credit_card,3,500.11
ORD000110,1,credit_card,1,3370.75
ORD000111,1,credit_card,3,208.86
ORD000112,1,credit_card,12,160.62
ORD000113,1,credit_card,6,0.0
ORD000114,1,credit_card,1,573.03
ORD000115,1,boleto,2,0.0
ORD000116,1,boleto,3,1464.0
ORD000117,1,credit_card,12,1294.37
ORD000118,1,boleto,2,561.16
ORD000119,1,credit_card,1,0.0
ORD000120,1,boleto,1,3278.02
ORD000120,2,voucher,1,96.99
ORD000121,1,voucher,2,1979.79
ORD000122,1,credit_card,1,1277.77
ORD000122,2,voucher,1,56.93
ORD000123,1,credit_card,6,937.2
ORD000124,1,credit_card,2,1666.03
ORD000124,2,voucher,1,23.21
ORD000125,1,credit_card,3,664.47
ORD000126,1,boleto,12,0.0
ORD000127,1,voucher,6,0.0
ORD000128,1,credit_card,6,317.62
ORD000128,2,voucher,1,44.81
ORD000129,1,debit_card,12,991.09
ORD000130,1,credit_card,3,1722.96
ORD000131,1,credit_card,1,608.11
ORD000132,1,credit_card,2,446.99
ORD000133,1,credit_card,12,0.0
ORD000134,1,debit_card,2,3480.39
ORD000135,1,credit_card,12,2436.85
ORD000136,1,credit_card,3,0.0
ORD000137,1,credit_card,12,0.0
ORD000138,1,boleto,12,1351.29
ORD000139,1,boleto,12,1155.16
ORD000140,1,voucher,3,865.27
ORD000141,1,credit_card,2,1379.05
ORD000142,1,credit_card,3,1559.75
ORD000142,2,voucher,1,19.07
ORD000143,1,voucher,2,2312.81
ORD000144,1,boleto,2,2716.89
ORD000145,1,credit_card,1,317.72
ORD000145,2,voucher,1,38.01
ORD000146,1,credit_card,3,3203.4
ORD000147,1,debit_card,12,1429.12
ORD000148,1,credit_card,12,0.0
ORD000149,1,debit_card,1,3923.58
ORD000150,1,credit_card,3,3332.69
ORD000151,1,debit_card,12,1969.91
ORD000152,1,voucher,12,930.66
ORD000153,1,boleto,6,2537.14
ORD000154,1,credit_card,12,1543.06
ORD000155,1,boleto,2,1786.06
ORD000156,1,credit_card,6,301.1
ORD000157,1,credit_card,6,2861.58
ORD000158,1,voucher,1,444.26
ORD000159,1,credit_card,2,1548.77
ORD000160,1,credit_card,2,0.0
ORD000161,1,credit_card,2,454.24
ORD000162,1,boleto,12,3269.13
ORD000163,1,credit_card,6,586.45
ORD000164,1,voucher,6,1034.33
ORD000165,1,credit_card,1,687.62
ORD000166,1,credit_card,1,2733.09
ORD000167,1,credit_card,1,3911.42
ORD000168,1,boleto,3,207.51
ORD000169,1,credit_card,1,779.16
ORD000170,1,credit_card,1,0.0
ORD000171,1,boleto,1,2431.69
ORD000172,1,credit_card,12,3212.3
ORD000173,1,boleto,3,582.0
ORD000174,1,credit_card,1,976.79
ORD000175,1,credit_card,12,2561.66
ORD000176,1,boleto,1,1380.4
ORD000177,1,credit_card,6,0.0
ORD000178,1,voucher,1,907.58
ORD000179,1,credit_card,3,0.0
ORD000180,1,credit_card,6,2834.6
ORD000181,1,boleto,1,254.42
ORD000182,1,debit_card,2,1003.71
ORD000183,1,debit_card,3,0.0
ORD000183,2,voucher,1,36.7
ORD000184,1,credit_card,1,1438.34
ORD000185,1,credit_card,2,871.89
ORD000186,1,credit_card,2,0.0
ORD000187,1,credit_card,3,675.38
ORD000188,1,credit_card,1,0.0
ORD000189,1,credit_card,3,250.35
ORD000190,1,boleto,1,546.63
ORD000191,1,voucher,2,0.0
ORD000192,1,credit_card,2,1126.1
ORD000193,1,boleto,6,742.78
ORD000194,1,credit_card,6,2655.3
ORD000195,1,credit_card,1,1130.79
ORD000196,1,credit_card,6,2930.92
ORD000197,1,credit_card,6,1295.22
ORD000198,1,credit_card,3,906.11
ORD000199,1,debit_card,2,3364.6
ORD000200,1,credit_card,12,2293.13
ORD000201,1,credit_card,2,3847.96
ORD000202,1,credit_card,6,0.0
ORD000203,1,boleto,2,0.0
ORD000204,1,credit_card,1,994.57
ORD000205,1,voucher,3,71.8
ORD000206,1,debit_card,1,2001.29
ORD000206,2,voucher,1,38.19
ORD000207,1,boleto,2,2747.2
ORD000208,1,credit_card,12,354.43
ORD000209,1,voucher,2,762.34
ORD000210,1,credit_card,2,686.4
ORD000211,1,boleto,2,632.44
ORD000212,1,credit_card,6,1951.65
ORD000213,1,boleto,12,0.0
ORD000213,2,voucher,1,84.56
ORD000214,1,voucher,1,761.91
ORD000215,1,credit_card,2,2244.04
ORD000215,2,voucher,1,59.07
ORD000216,1,boleto,2,2442.42
ORD000217,1,credit_card,2,0.0
ORD000218,1,boleto,3,2155.3
ORD000219,1,boleto,6,1710.48
ORD000220,1,boleto,3,1236.29
ORD000221,1,credit_card,1,0.0
ORD000222,1,credit_card,2,0.0
ORD000222,2,voucher,1,84.1
ORD000223,1,boleto,6,2611.67
ORD000224,1,boleto,12,938.46
ORD000225,1,boleto,6,0.0
ORD000226,1,credit_card,1,1262.31
ORD000227,1,debit_card,2,1134.03
ORD000228,1,credit_card,1,805.71
ORD000229,1,credit_card,12,0.0
ORD000230,1,credit_card,6,832.3
ORD000231,1,boleto,6,2969.03
ORD000232,1,credit_card,3,2521.99
ORD000233,1,credit_card,1,1136.29
ORD000234,1,credit_card,3,1788.15
ORD000234,2,voucher,1,31.81
ORD000235,1,credit_card,1,542.0
ORD000236,1,credit_card,3,1476.13
ORD000237,1,credit_card,1,0.0
ORD000238,1,credit_card,12,0.0
ORD000239,1,credit_card,6,457.79
ORD000239,2,voucher,1,34.89
ORD000240,1,debit_card,1,922.2
ORD000241,1,boleto,6,2171.22
ORD000242,1,credit_card,6,4497.59
ORD000243,1,debit_card,1,1611.71
ORD000244,1,voucher,12,0.0
ORD000245,1,boleto,2,2128.64
ORD000245,2,voucher,1,80.63
ORD000246,1,credit_card,1,1853.09
ORD000247,1,credit_card,6,0.0
ORD000247,2,voucher,1,64.47
ORD000248,1,debit_card,2,1542.68
ORD000249,1,boleto,2,0.0
ORD000250,1,credit_card,12,0.0
ORD000251,1,boleto,12,0.0
ORD000252,1,credit_card,2,2535.86
ORD000253,1,credit_card,6,4550.77
ORD000253,2,voucher,1,72.71
ORD000254,1,boleto,2,761.48
ORD000255,1,credit_card,1,984.83
ORD000256,1,credit_card,6,0.0
ORD000257,1,credit_card,3,2311.57
ORD000258,1,debit_card,1,2365.14
ORD000259,1,credit_card,2,0.0
ORD000260,1,credit_card,3,0.0
ORD000261,1,credit_card,1,0.0
ORD000262,1,boleto,3,589.95
ORD000263,1,debit_card,6,0.0
ORD000264,1,credit_card,1,264.69
ORD000265,1,credit_card,3,1566.17
ORD000266,1,credit_card,12,1068.5
ORD000267,1,credit_card,3,3806.15
ORD000268,1,credit_card,3,0.0
ORD000269,1,boleto,12,1294.78
ORD000270,1,voucher,1,67.84
ORD000271,1,credit_card,2,1498.42
ORD000272,1,credit_card,2,1715.2
ORD000273,1,credit_card,2,0.0
ORD000274,1,voucher,2,1345.06
ORD000275,1,credit_card,1,1430.51
ORD000276,1,credit_card,12,1114.91
ORD000277,1,credit_card,1,0.0
ORD000278,1,credit_card,6,1268.77
ORD000279,1,credit_card,3,1511.18
ORD000279,2,voucher,1,37.53
ORD000280,1,credit_card,2,1837.3
ORD000281,1,credit_card,3,2198.01
ORD000282,1,credit_card,6,2879.67
ORD000283,1,credit_card,12,1958.44
ORD000283,2,voucher,1,62.1
ORD000284,1,credit_card,3,1893.31
ORD000285,1,debit_card,2,2046.71
ORD000285,2,voucher,1,87.46
ORD000286,1,debit_card,6,0.0
ORD000287,1,credit_card,1,841.77
ORD000288,1,credit_card,1,1060.92
ORD000289,1,boleto,6,704.13
ORD000290,1,boleto,3,2273.69
ORD000291,1,credit_card,6,3465.03
ORD000292,1,boleto,2,3003.3
ORD000293,1,debit_card,6,0.0
ORD000294,1,boleto,2,0.0
ORD000295,1,credit_card,12,1975.22
ORD000296,1,credit_card,12,177.65
ORD000297,1,boleto,12,2855.8
ORD000298,1,credit_card,3,1502.86
ORD000298,2,voucher,1,90.17
ORD000299,1,debit_card,6,0.0
ORD000300,1,credit_card,6,845.81
ORD000301,1,boleto,6,1437.57
ORD000302,1,voucher,6,1095.77
ORD000303,1,credit_card,1,1259.98
ORD000304,1,debit_card,6,1038.27
ORD000305,1,boleto,12,744.95
ORD000306,1,credit_card,2,0.0
ORD000307,1,credit_card,1,0.0
ORD000308,1,credit_card,3,1921.3
ORD000309,1,credit_card,1,2644.67
ORD000310,1,credit_card,6,0.0
ORD000311,1,credit_card,12,4178.55
ORD000312,1,debit_card,3,4180.58
ORD000313,1,credit_card,6,272.76
ORD000314,1,credit_card,2,885.27
ORD000315,1,credit_card,6,0.0
ORD000316,1,boleto,1,1397.63
ORD000317,1,boleto,1,1976.98
ORD000318,1,credit_card,6,1117.21
ORD000319,1,boleto,12,2168.19
ORD000320,1,credit_card,6,1238.88
ORD000321,1,boleto,3,2082.8
ORD000322,1,credit_card,6,2434.53
ORD000323,1,credit_card,6,0.0
ORD000324,1,credit_card,6,3119.51
ORD000325,1,boleto,6,0.0
ORD000325,2,voucher,1,40.59
ORD000326,1,credit_card,3,1128.54
ORD000327,1,boleto,3,0.0
ORD000328,1,boleto,6,473.47
ORD000329,1,credit_card,6,0.0
ORD000329,2,voucher,1,7.49
ORD000330,1,boleto,12,1389.68
ORD000331,1,credit_card,3,629.76
ORD000332,1,credit_card,6,2279.25
ORD000333,1,debit_card,2,812.21
ORD000334,1,credit_card,1,3099.53
ORD000335,1,credit_card,2,1877.56
ORD000336,1,credit_card,2,171.0
ORD000337,1,credit_card,2,1032.07
