seller_id,seller_zip_code,seller_city,seller_state
SELL0001,93624,Vitoria,PE
SELL0002,43130,Salvador,ES
SELL0003,61756,Sao Paulo,MG
SELL0004,36292,Salvador,PR
SELL0005,96206,Vitoria,GO
SELL0006,79274,Recife,SC
SELL0007,12469,Rio de Janeiro,SP
SELL0008,63947,Rio de Janeiro,PR
SELL0009,32534,Curitiba,PR
SELL0010,73620,Belo Horizonte,GO
SELL0011,58874,Curitiba,BA
SELL0012,59708,Florianopolis,GO
SELL0013,84553,Sao Paulo,BA
SELL0014,78344,Salvador,BA
SELL0015,59138,Belo Horizonte,RS
SELL0016,64302,Vitoria,RS
SELL0017,57638,Florianopolis,RJ
SELL0018,88249,Vitoria,PE
SELL0019,12719,Rio de Janeiro,PE
SELL0020,32890,Rio de Janeiro,SP
SELL0021,87236,Curitiba,PE
SELL0022,46509,Sao Paulo,RS
SELL0023,52534,Belo Horizonte,RJ
SELL0024,28787,Goiania,RJ
SELL0025,58845,Florianopolis,BA
SELL0026,67932,Florianopolis,GO
SELL0027,43062,Curitiba,SP
SELL0028,85713,Rio de Janeiro,BA
SELL0029,97263,Curitiba,GO
SELL0030,70461,Salvador,PE
SELL0031,85418,Belo Horizonte,BA
SELL0032,76672,Sao Paulo,MG
SELL0033,44832,Recife,PE
SELL0034,41966,Porto Alegre,GO
SELL0035,82545,Porto Alegre,SP
SELL0036,22987,Curitiba,GO
SELL0037,47311,Salvador,BA
SELL0038,41575,Belo Horizonte,BA
SELL0039,73852,Goiania,PR
SELL0040,11007,Porto Alegre,SP
SELL0041,80981,Belo Horizonte,ES
SELL0042,86242,Sao Paulo,PE
SELL0043,57517,Vitoria,RJ
SELL0044,39257,Salvador,SP
SELL0045,97272,Rio de Janeiro,RJ
SELL0046,52207,Belo Horizonte,SP
SELL0047,23281,Sao Paulo,SP
SELL0048,71246,Goiania,GO
SELL0049,11435,Recife,SP
SELL0050,36660,Rio de Janeiro,PR
SELL0051,15084,Recife,ES
SELL0052,92197,Goiania,BA
SELL0053,23507,Sao Paulo,SC
SELL0054,82595,Porto Alegre,RJ
SELL0055,93807,Recife,BA
SELL0056,55539,Rio de Janeiro,SC
SELL0057,17491,Curitiba,ES
SELL0058,60192,Florianopolis,ES
SELL0059,90395,Belo Horizonte,RJ
SELL0060,73888,Porto Alegre,RJ
